Microgeraá∆o Setg†s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID;Nome;1. Caracter°sticas;;;;;;;2. Condiá‰es Particulares;;;;;3. Produto Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;4. Atributos;;;;;;;;;;;;5. Ofertas alternativas;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Eletricidade;;;;;;;;G†s;;;;;;;;Serviáo Estruturado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Ca;Data in°cio;Data fim;Reclamaá∆o da Divida;Duraá∆o;Penalizaá∆o;Valor;Condiá‰es1;Valor da Condiá∆o1;Condiá‰es2;Valor da Condiá∆o2;Condiá‰es3;Componente b†sica;Restriá∆o1;Valor da Restriá∆o1;Restriá∆o2;Valor da Restriá∆o2;Componente Estruturada Eletricidade;ID Comp. Estruturada Electricidade;Estrutura Tarif†ria;ID Estrutura tarif†ria;Restriá∆o1 ;Valores da Restriá∆o1;Restriá∆o2 ;Valores da Restriá∆o2 ;Componente Estruturada G†s;ID Comp. Estruturada G†s;Estrutura Tarif†ria GN;ID Estrutura tarif†ria GN;Serviáo Estruturado;ID Serviáo Estruturado;Estado do Serviáo;Obrigatoriedade;Serviáo Estruturado 2;ID Serviáo Estruturado 2;Estado do Serviáo 2;Obrigatoriedade 2;Estrutura tarif†ria;ID Estrutura tarif†ria;DÇbito Directo (ATR0000001);Obrigatoriedade;Conta Certa (ATR0000002);Obrigatoriedade;Correspondància electr¢nica (ATR0000003);Obrigatoriedade ;Entidade Parceira;Obrigatoriedade;Valor EP;Valor benÇfico EP;Unidade EP;Aplicado a EP;Eletricidade;G†s;;;;;;;;;;;;;
8;OFR3882125;Plano edp Sporting Total Durienseg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Durienseg†s;-;-;Plano edp Sporting Total Durienseg†s;CB02985112;PLANO SPORTING Total Durienseg†s ;ET05344387;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Durienseg†s 2013/01;;;;;;;;;;;;;
9;OFR4405513;Plano edp Sporting Total Dianag†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Dianag†s;-;-;Plano edp Sporting Total Dianag†s;CB07586918;PLANO SPORTING Total Dianag†s ;ET05693051;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Dianag†s 2013/01;;;;;;;;;;;;;
10;OFR7262431;Plano edp Sporting Total Tagusg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Tagusg†s;-;-;Plano edp Sporting Total Tagusg†s;CB02952093;PLANO SPORTING Total Tagusg†s ;ET00476858;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Tagusg†s 2013/01;;;;;;;;;;;;;
11;OFR2047021;Plano edp Sporting Total Medig†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Medig†s;-;-;Plano edp Sporting Total Medig†s;CB05460347;PLANO SPORTING Total Medig†s ;ET00884285;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Medig†s 2013/01;;;;;;;;;;;;;
12;OFR1905317;Plano edp Sporting Total Sonorg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Sonorg†s;-;-;Plano edp Sporting Total Sonorg†s;CB09015377;PLANO SPORTING Total Sonorg†s ;ET01581613;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Sonorg†s 2013/01;;;;;;;;;;;;;
13;OFR5003782;Casa 2013/01;Contrat†vel;01-02-2012;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;-;-;-;-;-;E;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa 2013/01;CB05477249;Casa 2013/01;ET03907085;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa 2013/01;N/A;;;;;;;;;;;;;
14;OFR2827290;Neg¢cios 2013/01;Contrat†vel;01-02-2012;31-12-9999;Pequenos Neg¢cios;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;Segmentaá∆o de cliente;"Peq. Neg¢cios;";-;-;-;E;Tipo Local Consumo;"Restauraá∆o;ComÇrcio;Serviáos;Hotelaria;Outros;Esp Comuns;Sv P£blico;Ind£strias;Lazer;Avenáas;PCVE;";-;-;Neg¢cios 2013/01;CB05302525;Neg¢cios 2013/01;ET09762627;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Neg¢cios 2013/01;N/A;;;;;;;;;;;;;
15;OFR9239239;Casa Base 2013/01;Contrat†vel;01-02-2012;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;-;-;-;-;-;E;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa Base 2013/01;CB03525401; Casa Base 2013/01;ET02478626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Facultativo;-;-;-;-;-;-;Casa Base 2013/01;N/A;;;;;;;;;;;;;
16;OFR9065298;Neg¢cios Base 2013/01;Contrat†vel;01-02-2012;31-12-9999;Pequenos Neg¢cios;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;-;-;-;-;-;E;Tipo Local Consumo;"Esp Comuns;ComÇrcio;Serviáos;Restauraá∆o;Sv P£blico;Ind£strias;Hotelaria;Lazer;Outros;   ";-;-;Neg¢cios Base 2013/01;CB06033656; Neg¢cios Base 2013/01;ET09065298;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Facultativo;-;-;-;-;-;-;Neg¢cios Base 2013/01;N/A;;;;;;;;;;;;;
17;OFR6938728;Casa Verde 2013/01;Contrat†vel;01-02-2012;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;-;-;-;-;-;E;Discriminaá∆o hor†ria;"Simples;Dupla;";Escal∆o de potància;"6,9 kVA;10,35 kVA;13,8 kVA;17,25 kVA;20,7 kVA;";Casa Verde 2013/01;CB08591832; Casa VERDE 2013/01;ET02445606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa Verde 2013/01;N/A;;;;;;;;;;;;;
18;OFR4397453;Casa Total Lisboag†s 2013/01;Contrat†vel;01-02-2013;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;Pontos de entrega no mesmo Local f°sico;-;-;-;-;E+G;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa Total 2013/01;CB01398831;Casa Total;ET02353823;Distribuidor;Lisboag†s;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";Casa Total Lisboag†s 2013/01;CB01398831;Casa Total Lisboag†s 2013/01;ET06033656;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa 2013/01;Casa Lisboag†s 2013/01;;;;;;;;;;;;;
19;OFR8417108;Casa Total edp g†s 2013/01;Contrat†vel;01-02-2013;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;Pontos de entrega no mesmo Local f°sico;-;-;-;-;E+G;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa Total 2013/01;CB03433619;Casa Total;ET02353823;Distribuidor;edp g†s;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";Casa Total edp g†s 2013/01;CB03433619;Casa Total edp g†s 2013/01;ET04513414;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa 2013/01;Casa edp g†s 2013/01;;;;;;;;;;;;;
20;OFR0493759;Casa Total Beirag†s 2013/01;Contrat†vel;01-02-2013;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;Pontos de entrega no mesmo Local f°sico;-;-;-;-;E+G;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa Total 2013/01;CB06382320;Casa Total;ET02353823;Distribuidor;Beirag†s;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";Casa Total Beirag†s 2013/01;CB06382320;Casa Total Beirag†s 2013/01;ET07860701;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa 2013/01;Casa Beirag†s 2013/01;;;;;;;;;;;;;
21;OFR1623475;Casa Total Lusitaniag†s 2013/01;Contrat†vel;01-02-2013;31-12-9999;Residenciais;365;Ser∆o debitados, ao cliente, o custo do termo tarif†rio fixo devido para o escal∆o/potància;0;Pontos de entrega no mesmo Local f°sico;-;-;-;-;E+G;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";-;-;Casa Total 2013/01;CB04605197;Casa Total;ET02353823;Distribuidor;Lusitaniag†s;Tipo Local Consumo;"Habitaá∆o;Esp Comuns;";Casa Total Lusitaniag†s 2013/01;CB04605197;Casa Total Lusitaniag†s 2013/01;ET04430473;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;x;Facultativo;x;Facultativo;-;-;-;-;-;-;Casa 2013/01;Casa Lusitaniag†s 2013/01;;;;;;;;;;;;;
